Fecha,Tipo,Documento,Concepto,Importe,Categoría,Observaciones,URL_Documento
2025-05-24,,,Permanente del curso 2024-2025,14.63,,,
2025-08-23,,,Compra del Chino - Enrique - MLU,-23.0,,,
2025-09-16,Gasto,Factura,F.Guanarteme,614.22,Material,Varios inicio del curso,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1759871402865.jpg
2025-09-19,Gasto,Factura,DISCAHER,547.77,Material,Pedido Nicolás,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1759871753955.jpg
2025-09-23,Ingreso,,CFGB,376.19,Otros Ingresos,Dotación 1er Semestre,
2025-09-23,Ingreso,,CFGM-CFGS,3786.65,Otros Ingresos,Dotación 1er Semestre,
2025-09-29,Ingreso,Factura,DISCAHER,211.86,Otros Ingresos,DEVOLUCIÓN,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1759872052021.jpg
2025-09-29,Gasto,Factura,DISCAHER,25.06,Material,Pedido Jonás,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1759871894787.jpg
2025-10-13,Gasto,Recibo,"Ferretería Guanarteme, S.L.",84.65,Material,Materiales varios,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1760356074917.png
2025-10-30,Gasto,Recibo,DISCAHER,152.35,Mantenimiento,,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1761927664558.png
2025-11-04,Gasto,Factura,F. Guanarteme,180.27,Material,,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1768309649212.jpeg
2025-11-14,Gasto,Factura,El kilo,68.3,Material,,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1768309886013.jpeg
2025-11-14,Gasto,Factura,El Kilo,94.05,Material,,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1768309801441.jpeg
2025-11-17,Gasto,Factura,F. Guanarteme,65.73,Material,,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1768309970683.jpeg
2025-11-20,Gasto,Factura,DISCAHER,49.4,Material,Magueras neumáticas,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1768310130246.jpeg
2025-11-20,Gasto,Recibo,Timanfaya Color S.L.,90.81,Mantenimiento,Kit Pico + Aguja 1.3,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1768311312170.png
2025-11-26,,,Compra en el Kilo - Enrique,-22.8,,,
2025-11-26,Gasto,,Cubeta Iván,400.0,Mantenimiento,Dos cubetas,
2025-12-09,Gasto,Factura,F. Guanarteme,63.56,Material,,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1768310640684.jpeg
2026-01-09,,,Compra chino botes para cola blanca,-3.8,,,
2026-01-13,Gasto,Factura,Afilados,74.73,Mantenimiento,,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1768310048521.jpeg
2026-01-13,Ingreso,,CFGB,524.84,Otros Ingresos,dotación funcionamiento 2º Semestre,
2026-01-13,Ingreso,,CFGM - CFGS,1462.68,Otros Ingresos,Dotación funcionamiento 2º Semestre,
2026-01-14,Gasto,Factura,F. Guanarteme,385.66,Material,Varios,https://drive.google.com/file/d/1ju7We9Ga0ouNfKs3NGclieEVjWSviJ8A/view?usp=drivesdk
2026-01-15,Gasto,Factura,F. Guanarteme,5.84,Material,,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1768485581884.jpg
2026-01-22,Gasto,Factura,F. Guanarteme,74.47,Material,,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1769086729439.jpg
2026-01-26,Gasto,Factura,F. Guanarteme,14.68,Material,,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1769430678497.jpg
2026-01-26,Gasto,Factura,F. Guanarteme,15.97,Material,,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1769429915520.jpg
2026-03-02,Gasto,Factura,Ferretería Guanarteme,135.07,Material,Piezas para los baños,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1772618606762.jpeg
2026-03-05,Gasto,Factura,Ferretería Guanarteme,182.22,Material,,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1773752990445.jpg
2026-03-16,Gasto,Factura,F. Guanarteme,67.6,Mantenimiento,,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1773651834519.jpg
2026-03-16,Gasto,Factura,Ferretería Guanarteme,19.4,Material,,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1773753059198.jpg
2026-03-17,Gasto,Factura,DISCAHER,34.11,Mantenimiento,,https://orypvcwpeomplyhqwzdh.supabase.co/storage/v1/object/public/facturas/factura_1773752750972.png
